Country,Daily Change,Daily Volatility,Monthly Return,Monthly Volatility,Yearly Return,Yearly Volatility,Average Market Cap
China: SSE Composite,3.39E-05,0.011936656,0.000415353,0.045092521,-0.005300021,0.061909066,623294173.7
Germany: DAX30,0.00036963,0.014231975,0.006471077,0.039985009,0.078375856,0.147539312,172460.7328
Brazil: iShares MSCI Brazil ETF,0.000896261,0.025742268,0.016558826,0.094376008,0.239340062,0.345473081,820025528.4
Italy: FTSE Italia All-Share,0.00014691,0.015182198,0.002087639,0.053193486,0.036482646,0.054552293,9.99637E+12
Canada: Vanguard FTSE Canada,0.000412152,0.010890519,0.007783525,0.024338922,0.095209148,0.066216744,667158.1789
India: S&P BSE SENSEX,0.00056866,0.011621445,0.010938278,0.03838055,0.130119291,0.037854791,9932533536
Australia: Dow Jones Australia,0.000266751,0.010827455,0.005068475,0.032606895,0.066667927,0.017814703,0
USA: Dow Jones,0.000519561,0.012750261,0.009635112,0.031259651,0.117519011,0.076087701,72391667015
UK: FTSE 250 Index,0.000196607,0.011284026,0.003566977,0.035006565,0.048493505,0.048389604,6.09884E+12
Spain: IBEX 35,-3.86E-05,0.013511055,-0.001270681,0.04830095,0.013166657,0.105261396,1.93884E+12
US: Nasdaq,0.000839308,0.013561629,0.016220697,0.032612201,0.244223924,0.142968567,1.91382E+13
South Korea: KOSPI,0.000373374,0.010640122,0.007050043,0.036807201,0.090064549,0.168772014,1097425281
Mexico: IPC,8.49E-05,0.010391902,0.001391049,0.038558391,0.016274112,0.089398671,8.04674E+12
Japan: Nikkei 225 Index,0.000386598,0.012855991,0.006949084,0.039252211,0.079208007,0.079133233,1.89733E+12
